"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.095000,-0.258394,0.061320,-1.134205,-0.005703,0.012879,0.003451,0.002514,-0.000729
0.095500,-0.266300,0.079898,-1.150624,-0.006402,0.012456,0.003586,0.001866,0.000568
0.096000,-0.264337,0.090640,-1.133750,-0.006247,0.013155,0.003681,0.003163,-0.001702
0.096500,-0.274330,0.073304,-1.146419,-0.005958,0.013106,0.003758,0.001541,0.001217
0.097000,-0.290480,0.072984,-1.140402,-0.006520,0.012763,0.003494,0.002190,0.000893
0.097500,-0.260321,0.080955,-1.137556,-0.006212,0.012198,0.003475,0.002838,0.001541
0.098000,-0.288515,0.062503,-1.113405,-0.006103,0.012805,0.003496,0.001866,-0.001053
0.098500,-0.298397,0.042717,-1.145970,-0.006298,0.012598,0.003706,0.004136,-0.004620
0.099000,-0.276393,0.062498,-1.133512,-0.006110,0.012737,0.003582,0.002838,0.001541
0.099500,-0.280572,0.078975,-1.113977,-0.005833,0.013081,0.003367,0.003487,-0.003972
0.100000,-0.276511,0.071598,-1.110937,-0.006345,0.012680,0.003360,0.003811,-0.001053
0.100500,-0.266331,0.087028,-1.123577,-0.006265,0.012836,0.003678,0.001866,0.002838
0.101000,-0.280513,0.060023,-1.130916,-0.006358,0.012958,0.003384,0.001866,-0.001053
0.101500,-0.294397,0.061246,-1.122776,-0.006482,0.012347,0.003683,0.001866,-0.000404
0.102000,-0.272373,0.076349,-1.133879,-0.006276,0.012297,0.003499,0.001541,-0.001377
0.102500,-0.306679,0.066047,-1.103424,-0.006077,0.012740,0.003322,0.003487,-0.001702
0.103000,-0.268322,0.047975,-1.117177,-0.006659,0.012261,0.003574,0.001866,-0.000080
0.103500,-0.278466,0.051671,-1.124132,-0.006450,0.012591,0.003407,0.002190,-0.002999
0.104000,-0.280501,0.057660,-1.113904,-0.006274,0.012846,0.003440,0.002514,-0.001702
0.104500,-0.274427,0.072781,-1.103691,-0.006243,0.012390,0.003500,0.002190,-0.000404
0.105000,-0.262366,0.082016,-1.100801,-0.006808,0.013013,0.003621,0.003487,-0.001702
0.105500,-0.274431,0.072953,-1.113699,-0.006334,0.013053,0.003588,0.001866,0.002190
0.106000,-0.294653,0.091701,-1.114261,-0.006512,0.013163,0.003306,0.002838,-0.003323
0.106500,-0.284542,0.097525,-1.086812,-0.005966,0.012406,0.003422,0.003163,-0.001377
0.107000,-0.294521,0.070675,-1.109920,-0.006385,0.012866,0.003551,0.002514,-0.000729
0.107500,-0.286477,0.046979,-1.123878,-0.006564,0.012474,0.003429,0.003163,-0.002026
0.108000,-0.290590,0.056421,-1.117515,-0.006419,0.012713,0.003294,0.003163,0.000244
0.108500,-0.294678,0.080156,-1.086907,-0.005817,0.013048,0.003336,0.002514,-0.002026
0.109000,-0.288487,0.064722,-1.096443,-0.006090,0.012361,0.003522,0.002190,-0.001377
0.109500,-0.262330,0.070490,-1.120552,-0.006447,0.012932,0.003646,0.001866,0.000244
0.110000,-0.272477,0.062227,-1.134611,-0.006399,0.012719,0.003329,0.002190,-0.002999
0.110500,-0.296531,0.095231,-1.143988,-0.006871,0.013013,0.003470,0.003163,0.000893
0.111000,-0.272453,0.074086,-1.117319,-0.006191,0.012848,0.003476,0.002838,-0.001702
0.111500,-0.292561,0.076548,-1.093232,-0.006118,0.012821,0.003500,0.002190,-0.002026
0.112000,-0.262455,0.056138,-1.108084,-0.006386,0.012469,0.003302,0.002838,0.000244
0.112500,-0.270514,0.061073,-1.128096,-0.006265,0.012844,0.003275,0.003811,-0.003647
0.113000,-0.278537,0.068196,-1.070085,-0.005838,0.012601,0.003447,0.002838,-0.001053
0.113500,-0.270442,0.072953,-1.107061,-0.005961,0.012751,0.003506,0.002514,-0.000080
0.114000,-0.240217,0.083070,-1.117830,-0.006487,0.012415,0.003597,0.002838,-0.001702
0.114500,-0.278583,0.070520,-1.121274,-0.006117,0.012774,0.003220,0.002514,0.000244
0.115000,-0.266315,0.079792,-1.113631,-0.006537,0.012593,0.003672,0.004136,-0.003323
0.115500,-0.272342,0.074234,-1.102808,-0.005856,0.012538,0.003729,0.002838,-0.000404
